Document Number	DocID Intern	Class	Project/H-Type	Sheet	Ver.	Issue	Lang.	Product version	Name	Source Allocation	Author	OEM / Private Label	PI	State	Lifecycle	Valid From	Valid Until	Current	Project Name	Cre.-Department	Date	Creator	Approved	Appr. Date	Released by	Rel. date	MTO	Note	DocKey II	ECO-ID	External Key	Doc type	Structure	Where used	Direct link	Direct Version link	Configuration Item	Icon Name	EDB_ID	EDB_ITM_REF	PLM Phase	CAX-Type	Variant name	Frame id.	Cre.sys.	File name	Structure ok?	File from local disc?	URL/Alternative ID	DocKeyII	DATEs	Service
T_DOC_DAT.SHS_DOC_ID2	T_DOC_DAT.DOCUMENT_ID	T_DOC_DAT.SHS_DOC_TYPE	T_DOC_DAT.SHS_PROJ_TYPE	T_DOC_DAT.SHEET_NO	T_DOC_DAT.DOC_VERSION	T_DOC_DAT.DOC_REVISION	T_DOC_DAT.SHS_DOC_LANG	T_DOC_DAT.SHS_REV_TXT1	T_DOC_DAT.DOC_NAME_ENG	T_DOC_DAT.SHS_SOURCE_DESCR	T_DOC_DAT.CRE_USER	T_DOC_DAT.SHS_OEM	T_DOC_DAT.LEV_IND	V_CHK_STA.REL_STA_ENG	T_DOC_DAT.CHK_NAME	T_DOC_DAT.VAL_FROM	T_DOC_DAT.VAL_UNTIL	T_DOC_DAT.CUR_FLAG	T_DOC_DAT.SHS_PROJ_NAM	T_DOC_DAT.CRE_DEPART	T_DOC_DAT.CRE_DATE	T_DOC_DAT.CRE_C_USER	T_DOC_DAT.APR_USER	T_DOC_DAT.APR_DATE	T_DOC_DAT.REL_USER	T_DOC_DAT.REL_DATE	T_DOC_DAT.SHS_MTO	T_DOC_DAT.STEP_DESCR	T_DOC_DAT.SHS_DOC_TYPEII	T_DOC_DAT.SHS_EO_ID	T_DOC_DAT.SHS_EXT_KEY	T_DOC_DAT.DOC_TYPE	T_DOC_DAT.BOM_FLAG	T_DOC_DAT.AGG_FLAG	T_DOC_DAT.DDL_HYPERLINK	T_DOC_DAT.HYPERLINK_VER	T_DOC_DAT.CMG_CTRL	T_DOC_DAT.EDB_ICON	T_DOC_DAT.EDB_ID	T_DOC_DAT.EDB_ITM_REF	T_DOC_DAT.SHS_PLM_TYP	T_DOC_DAT.CAX_TYPE	T_DOC_DAT.CAX_VAR	T_DOC_DAT.CAX_FRAME_ID	T_DOC_DAT.CAX_CRE_SYSTEM	T_DOC_DAT.CAX_FIL_NAME	T_DOC_DAT.CAX_STROK	T_DOC_DAT.CAX_LOCAL	T_DOC_DAT.EDB_URL	T_DOC_DAT.SHS_DTYPE2_KEY	T_DOC_DAT.SHS_DATES	T_DOC_DAT.SHS_SERVICE
DoC_COMPASS_GPS_4.6	D00309381	34	QMDOC	0	1	0	EN		DOC_COMPASS_GPS_4.6	Widex A/S	Jakobsen, MG		230	Released	SHS-QMDOC	07/11/2023 17.25.59	01/01/3000 00.00.00	y		QLT RA	2023-11-06	AU000G4B	Jakobsen, MG	2023-11-07	Holm, P	2023-11-07	n		#DoC			QM_DOCUMENTATION	0	0	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?DOCUMENT_ID=D00309381&DOC_TYPE=QM_DOCUMENTATION	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?UNIQUE_ID=1049982454&DOC_TYPE=QM_DOCUMENTATION			16639760											QCE		
DoC_C-TUNE II_4.6	D00309382	34	QMDOC	0	1	0	EN		DOC_C-TUNE II_4.6	Widex A/S	Jakobsen, MG		230	Released	SHS-QMDOC	07/11/2023 17.24.39	01/01/3000 00.00.00	y		QLT RA	2023-11-06	AU000G4B	Jakobsen, MG	2023-11-07	Holm, P	2023-11-07	n		#DoC			QM_DOCUMENTATION	0	0	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?DOCUMENT_ID=D00309382&DOC_TYPE=QM_DOCUMENTATION	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?UNIQUE_ID=1034234728&DOC_TYPE=QM_DOCUMENTATION			16639767											QCE		
DoC_Widex_SoundConnect	D00308432	34	QMDOC	0	1	0	EN		DOC_WIDEX_SOUNDCONNECT	Widex A/S	Jakobsen, MG		230	Released	SHS-QMDOC	27/10/2023 15.17.39	01/01/3000 00.00.00	y		QLT RA	2023-10-25	AU000G4B	Jakobsen, MG	2023-10-27	Holm, P	2023-10-27	n		#DoC			QM_DOCUMENTATION	0	0	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?DOCUMENT_ID=D00308432&DOC_TYPE=QM_DOCUMENTATION	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?UNIQUE_ID=1442221900&DOC_TYPE=QM_DOCUMENTATION			16611170											QCE		
DoC_C-TUNE II_4.5	D00293618	34	QMDOC	0	2	0	EN		DOC_C-TUNE II_4.5	Widex A/S	Jakobsen, MG		230	Released	SHS-QMDOC	23/10/2023 15.34.29	01/01/3000 00.00.00	y		QLT RA	2023-05-16	AU000G4B	Jakobsen, MG	2023-10-23	Karwowski	2023-10-23	n		#DoC			QM_DOCUMENTATION	0	0	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?DOCUMENT_ID=D00293618&DOC_TYPE=QM_DOCUMENTATION	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?UNIQUE_ID=1505363860&DOC_TYPE=QM_DOCUMENTATION			16233845											QCE		
DoC_PL_HearingGo_HG RIC	D00304494	34	QMDOC	0	1	0	EN		DOC_PL_HEARINGGO_HG RIC	WSA-SG-QA/QMS	Khoo, C		230	Released	SHS-QMDOC	27/09/2023 11.51.37	01/01/3000 00.00.00	y		QM APAC SG QS	2023-09-27	AU000N1Z	Khoo, C	2023-09-27	Jakobsen, MG	2023-09-27	n		#DoC			QM_DOCUMENTATION	0	0	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?DOCUMENT_ID=D00304494&DOC_TYPE=QM_DOCUMENTATION	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?UNIQUE_ID=1145727043&DOC_TYPE=QM_DOCUMENTATION			16555544											QCE		
DoC_PL_HearingGo_HG RIC Charge	D00304534	34	QMDOC	0	1	0	EN		DOC_PL_HEARINGGO_HG RIC CHARGE	WSA-SG-QA/QMS	Khoo, C		230	Released	SHS-QMDOC	27/09/2023 11.50.49	01/01/3000 00.00.00	y		QM APAC SG QS	2023-09-27	AU000N1Z	Khoo, C	2023-09-27	Jakobsen, MG	2023-09-27	n		#DoC			QM_DOCUMENTATION	0	0	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?DOCUMENT_ID=D00304534&DOC_TYPE=QM_DOCUMENTATION	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?UNIQUE_ID=1538273476&DOC_TYPE=QM_DOCUMENTATION			16556068											QCE		
DoC_PL_HearingGo_HG BTE	D00304493	34	QMDOC	0	1	0	EN		DOC_PL_HEARINGGO_HG BTE	WSA-SG-QA/QMS	Khoo, C		230	Released	SHS-QMDOC	27/09/2023 11.50.01	01/01/3000 00.00.00	y		QM APAC SG QS	2023-09-27	AU000N1Z	Khoo, C	2023-09-27	Jakobsen, MG	2023-09-27	n		#DoC			QM_DOCUMENTATION	0	0	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?DOCUMENT_ID=D00304493&DOC_TYPE=QM_DOCUMENTATION	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?UNIQUE_ID=1292103764&DOC_TYPE=QM_DOCUMENTATION			16555543											QCE		
DoC_PL_HearingGo_HG BTE Charge	D00304492	34	QMDOC	0	1	0	EN		DOC_PL_HEARINGGO_HG BTE CHARGE	WSA-SG-QA/QMS	Khoo, C		230	Released	SHS-QMDOC	27/09/2023 11.49.12	01/01/3000 00.00.00	y		QM APAC SG QS	2023-09-27	AU000N1Z	Khoo, C	2023-09-27	Jakobsen, MG	2023-09-27	n		#DoC			QM_DOCUMENTATION	0	0	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?DOCUMENT_ID=D00304492&DOC_TYPE=QM_DOCUMENTATION	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?UNIQUE_ID=1610023494&DOC_TYPE=QM_DOCUMENTATION			16555542											QCE		
DoC_Widex_WPT103	D00272684	34	QMDOC	0	2	0	EN		DOC_WIDEX_WPT103	Widex A/S	Jakobsen, MG		230	Released	SHS-QMDOC	22/09/2023 12.13.23	01/01/3000 00.00.00	y		QLT RA	2023-09-22	AU000G4B	Jakobsen, MG	2023-09-22	Karwowski	2023-09-22	n	version 2 to cover upgrade of product	#DoC			QM_DOCUMENTATION	0	0	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?DOCUMENT_ID=D00272684&DOC_TYPE=QM_DOCUMENTATION	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?UNIQUE_ID=1677637468&DOC_TYPE=QM_DOCUMENTATION			16551009		GEN									QCE		
DoC_MAGNIFY_EC_DOC_W21001	D00302661	34	QMDOC	0	4	0	EN		DOC_WIDEX_MAGNIFY_MDD	Widex A/S	Stenov-Hansen		230	Released	SHS-QMDOC	14/09/2023 09.06.08	01/01/3000 00.00.00	y		QLT RA	2023-09-07	AU000J13	Stenov-Hansen	2023-09-07	Jakobsen, MG	2023-09-14	n	Upload of Widex MDD DoC. Versions before version 4 are found in hard copy in RA.	#DoC			QM_DOCUMENTATION	0	0	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?DOCUMENT_ID=D00302661&DOC_TYPE=QM_DOCUMENTATION	http://eplm.audiology-solutions.net:8181/SivantosDocumentDownload/DocumentFileDownload?UNIQUE_ID=1011081952&DOC_TYPE=QM_DOCUMENTATION			16481765											QCE		
